month,fy,city,state,channel,total_orders,revenue_inr,avg_order_value_inr,units_sold,new_customers,returning_customers,returns,return_rate_pct,cancellations,discount_orders_pct,avg_discount_pct,city_tier
Apr-2022,FY23,Bengaluru,Karnataka,Amazon,2496,3674535,1474,2929,521,1099,244,9.8,97,19.4,6.8,Metro
Apr-2022,FY23,Bengaluru,Karnataka,Flipkart,2196,3386958,1541,3724,489,1056,267,12.2,53,26.6,7.3,Metro
Apr-2022,FY23,Bengaluru,Karnataka,Ugaoo Website,1541,2303562,1492,2037,381,526,78,5.1,84,42.1,17.1,Metro
Apr-2022,FY23,Bengaluru,Karnataka,Blinkit,920,879733,958,1327,220,422,62,6.8,54,37.3,11.3,Metro
Apr-2022,FY23,Bengaluru,Karnataka,Zepto,735,986684,1347,1297,145,369,82,11.2,27,23.5,8.9,Metro
Apr-2022,FY23,Bengaluru,Karnataka,Retail Store,1664,2504127,1506,2463,595,863,106,6.4,40,21.7,13.9,Metro
Apr-2022,FY23,Bengaluru,Karnataka,Corporate Gifting,1259,1407138,1116,2042,253,579,135,10.8,41,28.5,17.4,Metro
Apr-2022,FY23,Bengaluru,Karnataka,Meesho,280,388367,1398,345,96,127,27,9.9,7,31.1,6.0,Metro
Apr-2022,FY23,Mumbai,Maharashtra,Amazon,2530,2517815,997,4185,1009,872,308,12.2,142,34.4,13.6,Metro
Apr-2022,FY23,Mumbai,Maharashtra,Flipkart,1364,1636673,1199,1863,572,520,126,9.3,65,18.5,10.1,Metro
Apr-2022,FY23,Mumbai,Maharashtra,Ugaoo Website,1456,2193573,1504,2183,470,592,101,7.0,36,26.3,14.1,Metro
Apr-2022,FY23,Mumbai,Maharashtra,Blinkit,754,1031126,1369,1153,189,231,95,12.6,28,37.4,16.4,Metro
Apr-2022,FY23,Mumbai,Maharashtra,Zepto,794,809114,1024,1314,278,337,57,7.2,21,21.8,6.1,Metro
Apr-2022,FY23,Mumbai,Maharashtra,Retail Store,1240,1458378,1178,1704,334,416,109,8.8,45,30.9,7.8,Metro
Apr-2022,FY23,Mumbai,Maharashtra,Corporate Gifting,908,1252491,1376,1211,277,313,106,11.7,41,23.0,5.9,Metro
Apr-2022,FY23,Mumbai,Maharashtra,Meesho,257,342579,1329,288,96,114,27,10.6,13,20.7,10.7,Metro
Apr-2022,FY23,Delhi,Delhi,Amazon,1497,1799785,1201,1989,540,517,79,5.3,33,36.3,8.7,Metro
Apr-2022,FY23,Delhi,Delhi,Flipkart,785,1239442,1575,1195,229,295,73,9.4,26,37.7,13.4,Metro
Apr-2022,FY23,Delhi,Delhi,Ugaoo Website,696,927255,1329,1221,220,274,64,9.3,28,32.9,14.1,Metro
Apr-2022,FY23,Delhi,Delhi,Blinkit,465,586919,1264,547,132,175,47,10.2,11,38.3,16.6,Metro
Apr-2022,FY23,Delhi,Delhi,Zepto,415,544570,1320,709,104,145,31,7.6,16,26.6,19.9,Metro
Apr-2022,FY23,Delhi,Delhi,Retail Store,1047,1036605,991,1717,272,381,88,8.5,43,22.8,14.6,Metro
Apr-2022,FY23,Delhi,Delhi,Corporate Gifting,686,856810,1253,827,224,232,85,12.4,22,24.3,18.9,Metro
Apr-2022,FY23,Delhi,Delhi,Meesho,159,193344,1218,195,48,63,8,5.1,8,41.3,8.3,Metro
Apr-2022,FY23,Pune,Maharashtra,Amazon,857,908641,1061,1198,288,266,82,9.6,41,31.0,6.6,Metro
Apr-2022,FY23,Pune,Maharashtra,Flipkart,1036,1315166,1272,1342,256,368,109,10.6,34,40.2,14.7,Metro
Apr-2022,FY23,Pune,Maharashtra,Ugaoo Website,621,741956,1188,1042,236,312,33,5.4,19,24.0,13.2,Metro
Apr-2022,FY23,Pune,Maharashtra,Blinkit,394,576576,1476,472,143,146,38,9.8,22,39.8,15.7,Metro
Apr-2022,FY23,Pune,Maharashtra,Zepto,315,453254,1453,543,127,146,21,6.9,7,19.9,15.1,Metro
Apr-2022,FY23,Pune,Maharashtra,Retail Store,885,1365392,1542,975,251,407,92,10.4,36,29.8,14.9,Metro
Apr-2022,FY23,Pune,Maharashtra,Corporate Gifting,400,617727,1537,494,100,125,43,10.8,22,32.6,8.3,Metro
Apr-2022,FY23,Pune,Maharashtra,Meesho,199,214958,1067,273,82,85,18,9.1,4,44.6,12.6,Metro
Apr-2022,FY23,Hyderabad,Telangana,Amazon,757,1176694,1553,1154,171,333,97,12.9,37,27.3,7.8,Metro
Apr-2022,FY23,Hyderabad,Telangana,Flipkart,664,583424,877,1051,163,216,47,7.1,30,39.1,6.5,Metro
Apr-2022,FY23,Hyderabad,Telangana,Ugaoo Website,587,890346,1511,879,187,201,76,13.0,19,43.8,8.1,Metro
Apr-2022,FY23,Hyderabad,Telangana,Blinkit,294,324527,1112,357,119,120,16,5.6,16,27.0,18.0,Metro
Apr-2022,FY23,Hyderabad,Telangana,Zepto,162,201018,1226,269,40,77,15,9.5,9,38.0,17.0,Metro
Apr-2022,FY23,Hyderabad,Telangana,Retail Store,744,836335,1121,1285,262,373,63,8.6,19,29.4,17.0,Metro
Apr-2022,FY23,Hyderabad,Telangana,Corporate Gifting,315,428254,1372,404,69,154,31,10.0,16,34.5,16.3,Metro
Apr-2022,FY23,Hyderabad,Telangana,Meesho,150,130306,896,250,51,78,11,7.8,3,38.3,17.4,Metro
Apr-2022,FY23,Chennai,Tamil Nadu,Amazon,437,473843,1079,577,88,177,55,12.8,17,40.4,16.9,Non-Metro
Apr-2022,FY23,Chennai,Tamil Nadu,Flipkart,381,607163,1593,422,122,191,46,12.3,20,26.6,14.5,Non-Metro
Apr-2022,FY23,Chennai,Tamil Nadu,Ugaoo Website,382,583048,1523,493,140,123,33,8.7,16,38.6,5.6,Non-Metro
Apr-2022,FY23,Chennai,Tamil Nadu,Blinkit,201,246713,1215,282,75,106,22,11.3,11,42.0,15.5,Non-Metro
Apr-2022,FY23,Chennai,Tamil Nadu,Zepto,171,248048,1439,192,44,64,20,11.8,5,44.3,19.0,Non-Metro
Apr-2022,FY23,Chennai,Tamil Nadu,Retail Store,470,743394,1581,795,173,177,33,7.1,18,21.9,13.2,Non-Metro
Apr-2022,FY23,Chennai,Tamil Nadu,Corporate Gifting,254,405269,1589,451,98,102,14,5.7,12,37.1,19.7,Non-Metro
Apr-2022,FY23,Chennai,Tamil Nadu,Meesho,76,96561,1311,108,25,37,4,6.3,4,24.9,5.2,Non-Metro
Apr-2022,FY23,Kolkata,West Bengal,Amazon,450,603604,1351,639,84,150,57,12.7,20,31.3,14.8,Non-Metro
Apr-2022,FY23,Kolkata,West Bengal,Flipkart,240,226298,960,307,94,129,30,12.9,10,34.5,6.2,Non-Metro
Apr-2022,FY23,Kolkata,West Bengal,Ugaoo Website,263,275121,1060,418,100,103,13,5.0,13,26.5,6.7,Non-Metro
Apr-2022,FY23,Kolkata,West Bengal,Blinkit,119,137762,1134,154,47,45,13,11.6,2,28.5,5.9,Non-Metro
Apr-2022,FY23,Kolkata,West Bengal,Zepto,122,179505,1485,206,28,66,13,10.8,3,24.3,15.8,Non-Metro
Apr-2022,FY23,Kolkata,West Bengal,Retail Store,209,271365,1277,327,53,85,23,11.2,4,44.3,15.5,Non-Metro
Apr-2022,FY23,Kolkata,West Bengal,Corporate Gifting,172,197258,1128,295,41,78,10,6.1,5,34.3,10.0,Non-Metro
Apr-2022,FY23,Kolkata,West Bengal,Meesho,49,46965,1016,79,16,23,4,8.7,2,31.2,12.3,Non-Metro
Apr-2022,FY23,Ahmedabad,Gujarat,Amazon,268,394724,1482,380,60,144,28,10.6,7,32.9,17.4,Non-Metro
Apr-2022,FY23,Ahmedabad,Gujarat,Flipkart,153,192856,1268,253,49,52,9,6.0,8,34.8,20.0,Non-Metro
