order_id,customer_id,order_date,order_month,order_quarter,channel,city,state,product_id,product_name,category,sub_category,quantity,unit_price,discount_pct,gross_value_inr,order_value,delivery_days,payment_mode,order_status,is_gift_order,replacement_claimed,delivery_rating,fy,gender,age,segment,acquisition_channel,nps_score,app_user,cost_price_inr,gross_margin_pct,maintenance_level,is_bestseller,profit,profit_margin,final_price,is_returned,year,month,month_name,quarter,risk_flag,order_month_n,order_week,order_day_of_week,age_band,delivery_speed,delivery_rating_flag,is_delivered
UGA2300001,CUST007303,2024-04-10,Apr-2024,Q2 FY25,Flipkart,Kolkata,West Bengal,PL013,Bougainvillea,Live Plants,Outdoor Plants,1,349,0,349,349.0,4.5,Credit Card,Delivered,Standard,Not Claimed,3.0,2024-25,Female,28,Loyal,Organic Search,7,App User,115,67.0,Low,Standard,233.83,67.0,349.0,No,2024,4,Apr,2,Low Risk,4,15,Wednesday,26-35,5+ Days,Rated,1
UGA2300002,CUST007640,2024-06-04,Jun-2024,Q2 FY25,Meesho,Mumbai,Maharashtra,PL006,ZZ Plant,Live Plants,Indoor Plants,4,499,5,1996,1896.0,3.0,UPI,Delivered,Standard,Not Claimed,4.0,2024-25,Male,35,New,Amazon,5,App User,160,67.9,Very Low,Standard,1287.38,67.9,474.0,No,2024,6,Jun,2,Low Risk,6,23,Tuesday,26-35,3-4 Days,Rated,1
UGA2300003,CUST003383,2024-04-09,Apr-2024,Q2 FY25,Retail Store,Ahmedabad,Gujarat,PT007,Vertical Wall Planter (5 pocket),Pots & Planters,Wall Planters,3,1074,25,3597,2364.5,4.0,UPI,Delivered,Standard,Not Claimed,3.0,2024-25,Female,21,Returning,Instagram,9,App User,390,67.5,Not Applicable,Standard,1569.46,67.5,899.33,No,2024,4,Apr,2,High Risk,4,15,Tuesday,18-25,3-4 Days,Rated,1
UGA2300004,CUST008444,2023-09-26,Sep-2023,Q3 FY24,Retail Store,Mumbai,Maharashtra,TL002,Watering Can 2L,Tools,Watering,1,299,10,299,269.0,2.0,UPI,Delivered,Standard,Not Claimed,3.0,2023-24,Female,25,New,Organic Search,10,App User,95,68.2,Not Applicable,Standard,183.46,68.2,269.0,No,2023,9,Sep,3,Low Risk,9,39,Tuesday,18-25,1-2 Days,Rated,1
UGA2300005,CUST007171,2024-08-24,Aug-2024,Q3 FY25,Flipkart,Noida,Uttar Pradesh,SD003,Coriander Seeds (50g),Seeds,Vegetable Seeds,1,59,5,59,56.0,2.0,UPI,Delivered,Standard,Not Claimed,5.0,2024-25,Female,21,Loyal,Google Ads,8,Non-App User,12,79.7,Low,Standard,44.63,79.7,56.0,No,2024,8,Aug,3,Low Risk,8,34,Saturday,18-25,1-2 Days,Rated,1
UGA2300006,CUST004844,2023-06-25,Jun-2023,Q2 FY24,Ugaoo Website,Chennai,Tamil Nadu,SD003,Coriander Seeds (50g),Seeds,Vegetable Seeds,1,59,0,59,59.0,2.0,UPI,Delivered,Standard,Not Claimed,3.0,2023-24,Female,38,Returning,Word of Mouth,6,App User,12,79.7,Low,Standard,47.02,79.7,59.0,No,2023,6,Jun,2,Low Risk,6,25,Sunday,36-45,1-2 Days,Rated,1
UGA2300007,CUST005544,2024-02-19,Feb-2024,Q1 FY24,Zepto,Chennai,Tamil Nadu,SD002,Spinach Seeds (50g),Seeds,Vegetable Seeds,2,69,20,138,110.0,0.5,UPI,Delivered,Standard,Not Claimed,5.0,2023-24,Female,33,Returning,Organic Search,9,Non-App User,14,79.7,Low,Standard,87.67,79.7,55.0,No,2024,2,Feb,1,Low Risk,2,8,Monday,26-35,1-2 Days,Rated,1
UGA2300008,CUST007435,2025-03-12,Mar-2025,Q1 FY25,Amazon,Pune,Maharashtra,PL008,Money Plant (Epipremnum),Live Plants,Indoor Plants,1,179,25,179,134.0,1.0,UPI,Delivered,Standard,Not Claimed,4.0,2024-25,Male,21,New,Google Ads,7,Non-App User,50,72.1,Very Low,Bestseller,96.61,72.1,134.0,No,2025,3,Mar,1,Low Risk,3,11,Wednesday,18-25,1-2 Days,Rated,1
UGA2300009,CUST010595,2023-11-18,Nov-2023,Q4 FY24,Flipkart,Pune,Maharashtra,PL005,Golden Pothos,Live Plants,Indoor Plants,1,199,0,199,368.0,3.0,UPI,Returned,Standard,Not Claimed,No Rating,2023-24,Female,32,Loyal,Word of Mouth,8,App User,60,69.8,Very Low,Bestseller,256.86,69.8,368.0,No,2023,11,Nov,4,Low Risk,11,46,Saturday,26-35,3-4 Days,No Rating,0
UGA2300010,CUST005364,2024-11-26,Nov-2024,Q4 FY25,Amazon,Mumbai,Maharashtra,GF001,Green Starter Kit,Gifting,Beginner Kits,1,899,20,899,719.0,1.0,UPI,Cancelled,Standard,Not Claimed,No Rating,2024-25,Female,49,New,Organic Search,7,App User,370,58.8,Not Applicable,Bestseller,422.77,58.8,719.0,No,2024,11,Nov,4,Low Risk,11,48,Tuesday,46-60,1-2 Days,No Rating,0
