month,fy,product_id,product_name,category,warehouse,opening_stock,stock_received,stock_sold,damaged_in_transit,closing_stock,transit_damage_pct,stockout_days,reorder_triggered,supplier_lead_days,po_raised,cost_of_goods_inr,holding_cost_inr,is_peak_month
Apr-2022,FY23,PL001,Monstera Deliciosa,Live Plants,Mumbai Hub,938,573,747,66,698,8.84,0,No,13,No,104580,1465,No
Apr-2022,FY23,PL002,Peace Lily,Live Plants,Talegaon Main (Pune),1603,531,541,47,1546,8.69,0,No,8,No,48690,2087,No
Apr-2022,FY23,PL003,Snake Plant (Sansevieria),Live Plants,Talegaon Main (Pune),2451,623,549,42,2483,7.65,0,No,10,No,54900,3724,No
Apr-2022,FY23,PL004,Fiddle Leaf Fig,Live Plants,Hyderabad Spoke,807,635,322,13,1107,4.04,0,No,4,No,96600,4981,No
Apr-2022,FY23,PL005,Golden Pothos,Live Plants,Hyderabad Spoke,2333,234,177,9,2381,5.08,0,No,9,No,10620,2142,No
Apr-2022,FY23,PL006,ZZ Plant,Live Plants,Bengaluru Hub,1714,182,528,30,1338,5.68,0,No,4,No,84480,3211,No
Apr-2022,FY23,PL007,Spider Plant,Live Plants,Hyderabad Spoke,723,122,808,47,0,5.82,5,Yes,8,Yes,60600,0,No
Apr-2022,FY23,PL008,Money Plant (Epipremnum),Live Plants,Talegaon Main (Pune),2466,277,888,32,1823,3.6,0,No,13,No,44400,1367,No
Apr-2022,FY23,PL009,Rubber Plant,Live Plants,Hyderabad Spoke,717,588,417,20,868,4.8,0,No,4,No,75060,2343,No
Apr-2022,FY23,PL010,Aglaonema Red,Live Plants,Delhi Hub,887,338,213,11,1001,5.16,0,No,11,No,44730,3153,No
Apr-2022,FY23,PL011,Rose – Red (Grafted),Live Plants,Delhi Hub,1594,703,167,13,2117,7.78,0,No,8,No,21710,4128,No
Apr-2022,FY23,PL012,Hibiscus – Pink,Live Plants,Bengaluru Hub,997,408,371,19,1015,5.12,0,No,6,No,40810,1674,No
Apr-2022,FY23,PL013,Bougainvillea,Live Plants,Hyderabad Spoke,2387,809,782,55,2359,7.03,0,No,6,No,89930,4069,No
Apr-2022,FY23,PL014,Ixora,Live Plants,Bengaluru Hub,1683,244,389,30,1508,7.71,0,No,9,No,33065,1922,No
Apr-2022,FY23,PL015,Marigold Seedling,Live Plants,Talegaon Main (Pune),1215,541,240,8,1508,3.33,0,No,3,No,9600,904,No
Apr-2022,FY23,PL016,Aloe Vera,Live Plants,Mumbai Hub,2294,211,652,48,1805,7.36,0,No,3,No,52160,2166,No
Apr-2022,FY23,PL017,Cactus Mix (3 pack),Live Plants,Mumbai Hub,1334,878,238,21,1953,8.82,0,No,4,No,15470,1904,No
Apr-2022,FY23,PL018,Echeveria Set of 3,Live Plants,Delhi Hub,2398,1137,737,43,2755,5.83,0,No,10,No,70015,3925,No
Apr-2022,FY23,PL019,Areca Palm,Live Plants,Bengaluru Hub,797,943,321,11,1408,3.43,0,No,8,No,80250,5280,No
Apr-2022,FY23,PL020,Bamboo Palm,Live Plants,Delhi Hub,2435,1087,417,20,3085,4.8,0,No,5,No,112590,12494,No
Apr-2022,FY23,SD001,Cherry Tomato Seeds,Seeds,Talegaon Main (Pune),2437,394,370,3,2458,0.81,0,No,11,No,6660,663,No
Apr-2022,FY23,SD002,Spinach Seeds (50g),Seeds,Delhi Hub,1966,282,585,1,1662,0.17,0,No,10,No,8190,349,No
Apr-2022,FY23,SD003,Coriander Seeds (50g),Seeds,Hyderabad Spoke,1269,1200,117,1,2351,0.85,0,No,3,No,1404,423,No
Apr-2022,FY23,SD004,Chilli Hybrid Seeds,Seeds,Mumbai Hub,354,750,805,5,294,0.62,0,No,8,No,17710,97,No
Apr-2022,FY23,SD005,Marigold Seeds,Seeds,Hyderabad Spoke,2185,731,520,3,2393,0.58,0,No,7,No,8320,574,No
Apr-2022,FY23,SD006,Sunflower Seeds,Seeds,Delhi Hub,225,803,558,3,467,0.54,0,No,4,No,11160,140,No
Apr-2022,FY23,SD007,Petunia Seeds,Seeds,Bengaluru Hub,1435,763,153,1,2044,0.65,0,No,10,No,4284,858,No
Apr-2022,FY23,SD008,Methi Seeds (100g),Seeds,Talegaon Main (Pune),1692,300,726,3,1263,0.41,0,No,10,No,7260,189,No
Apr-2022,FY23,SD009,Basil Seeds,Seeds,Bengaluru Hub,1362,1177,795,1,1743,0.13,0,No,3,No,11925,392,No
Apr-2022,FY23,PT001,Ceramic Pot 5 inch – White,Pots & Planters,Talegaon Main (Pune),2208,357,526,3,2036,0.57,0,No,12,No,55230,3206,No
Apr-2022,FY23,PT002,Ceramic Pot 6 inch – Terracotta look,Pots & Planters,Delhi Hub,1475,388,874,1,988,0.11,0,No,4,No,117990,2000,No
Apr-2022,FY23,PT003,Ceramic Pot 8 inch – Matte Black,Pots & Planters,Delhi Hub,1227,787,763,1,1250,0.13,0,No,9,No,160230,3937,No
Apr-2022,FY23,PT004,Classic Terracotta 6in,Pots & Planters,Hyderabad Spoke,1626,373,89,0,1910,0.0,0,No,8,No,6230,2005,No
Apr-2022,FY23,PT005,Self-Watering Pot 7in,Pots & Planters,Hyderabad Spoke,2488,822,342,3,2965,0.88,0,No,8,No,82080,10674,No
Apr-2022,FY23,PT006,Hanging Basket Planter,Pots & Planters,Hyderabad Spoke,1041,922,664,3,1296,0.45,0,No,4,No,109560,3207,No
Apr-2022,FY23,PT007,Vertical Wall Planter (5 pocket),Pots & Planters,Hyderabad Spoke,1853,277,190,2,1938,1.05,0,No,6,No,74100,11337,No
Apr-2022,FY23,PT008,Nursery Grow Bags (5 pack),Pots & Planters,Mumbai Hub,474,972,443,3,1000,0.68,0,No,9,No,35440,1200,No
Apr-2022,FY23,FR001,Ugaoo NPK 19-19-19 (500g),Fertilisers,Bengaluru Hub,1624,508,113,5,2014,4.42,0,No,14,No,10735,2869,No
Apr-2022,FY23,FR002,Organic Vermicompost (2kg),Fertilisers,Hyderabad Spoke,1331,368,402,1,1296,0.25,0,No,7,No,44220,2138,No
Apr-2022,FY23,FR003,Seaweed Liquid Fertiliser,Fertilisers,Bengaluru Hub,983,1176,882,2,1275,0.23,0,No,6,No,70560,1530,No
Apr-2022,FY23,FR004,Bone Meal Fertiliser (500g),Fertilisers,Bengaluru Hub,418,905,122,5,1196,4.1,0,No,11,No,12200,1794,No
Apr-2022,FY23,FR005,Plant Tonic – Rooting Hormone,Fertilisers,Delhi Hub,1692,982,235,2,2437,0.85,0,No,5,No,16450,2558,No
Apr-2022,FY23,TL001,Garden Pruner – Stainless,Tools,Bengaluru Hub,310,128,428,5,5,1.17,0,Yes,9,Yes,62060,10,No
Apr-2022,FY23,TL002,Watering Can 2L,Tools,Hyderabad Spoke,2424,463,508,1,2378,0.2,0,No,9,No,48260,3388,No
Apr-2022,FY23,TL003,Premium Potting Mix 5kg,Tools,Hyderabad Spoke,2212,141,801,3,1549,0.37,0,No,9,No,104130,3020,No
Apr-2022,FY23,TL004,Pebbles Decorative 500g,Tools,Mumbai Hub,1397,853,671,3,1576,0.45,0,No,10,No,36905,1300,No
Apr-2022,FY23,TL005,Moisture Meter,Tools,Bengaluru Hub,2136,424,127,1,2432,0.79,0,No,11,No,25400,7296,No
Apr-2022,FY23,GF001,Green Starter Kit,Gifting,Hyderabad Spoke,2061,312,411,3,1959,0.73,0,No,14,No,152070,10872,No
Apr-2022,FY23,GF002,Plant Parent Gift Box,Gifting,Mumbai Hub,1895,840,762,2,1971,0.26,0,No,14,No,502920,19512,No
Apr-2022,FY23,GF003,Festive Diwali Plant Hamper,Gifting,Hyderabad Spoke,1861,1109,618,2,2350,0.32,0,No,3,No,679800,38775,No
Apr-2022,FY23,GF004,Corporate Desk Plant Set,Gifting,Talegaon Main (Pune),1616,756,231,4,2137,1.73,0,No,10,No,124740,17309,No
Apr-2022,FY23,GF005,Anniversary Succulent Box,Gifting,Hyderabad Spoke,278,359,627,3,7,0.48,2,Yes,14,Yes,269610,45,No
May-2022,FY23,PL001,Monstera Deliciosa,Live Plants,Delhi Hub,2104,225,601,24,1704,3.99,0,No,7,No,84140,3578,No
May-2022,FY23,PL002,Peace Lily,Live Plants,Delhi Hub,2298,645,734,45,2164,6.13,0,No,5,No,66060,2921,No
May-2022,FY23,PL003,Snake Plant (Sansevieria),Live Plants,Bengaluru Hub,1838,637,744,62,1669,8.33,0,No,9,No,74400,2503,No
May-2022,FY23,PL004,Fiddle Leaf Fig,Live Plants,Bengaluru Hub,351,515,273,23,570,8.42,0,No,9,No,81900,2565,No
May-2022,FY23,PL005,Golden Pothos,Live Plants,Mumbai Hub,1745,666,530,48,1833,9.06,0,No,5,No,31800,1649,No
May-2022,FY23,PL006,ZZ Plant,Live Plants,Mumbai Hub,1986,1025,366,29,2616,7.92,0,No,6,No,58560,6278,No
May-2022,FY23,PL007,Spider Plant,Live Plants,Talegaon Main (Pune),2349,1051,230,19,3151,8.26,0,No,5,No,17250,3544,No
